stock_id,date,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2330,2013-03-06,38026322,3944092785,104.0,104.5,103.0,104.0,0.0,6844
2330,2013-03-07,20783572,2150594416,103.5,104.0,103.0,103.0,-1.0,6812
2330,2013-03-08,46036003,4753123583,103.0,104.5,102.0,103.5,0.5,8598
2330,2013-03-11,36093271,3706837142,102.0,104.0,102.0,102.0,-1.5,9071
2330,2013-03-12,30064912,3075447024,102.0,103.0,101.5,102.5,0.5,6294
2330,2013-03-13,57955306,6009069324,102.5,105.0,102.0,104.5,2.0,9978
2330,2013-03-14,33067465,3435727588,104.0,104.5,103.0,104.0,-0.5,7022
2330,2013-03-15,35632988,3696617211,105.0,105.0,103.0,103.0,-1.0,6030
2330,2013-03-18,44188807,4472705507,102.0,102.0,100.5,100.5,-2.5,11128
2330,2013-03-19,50765167,5104261200,101.0,101.5,99.6,100.0,-0.5,11099
2330,2013-03-20,64024225,6344606455,99.5,99.5,98.8,98.8,-1.2,13861
2330,2013-03-21,58467748,5799884434,98.8,100.5,98.7,98.7,-0.1,13448
2330,2013-03-22,44937030,4420118840,98.6,99.1,98.0,98.0,-0.7,12072
2330,2013-03-25,25469505,2540453602,99.9,100.5,99.2,99.5,1.5,7606
2330,2013-03-26,27220058,2698733342,99.2,99.4,98.8,99.0,-0.5,8019
2330,2013-03-27,29969023,2992059750,99.0,100.5,98.8,100.5,1.5,7304
2330,2013-03-28,29558310,2945126900,100.0,100.5,99.3,100.0,-0.5,7232
2330,2013-03-29,19003253,1907250000,100.0,101.0,99.8,100.5,0.5,5024
2330,2013-04-01,16374716,1657592413,101.0,102.0,100.5,101.0,0.5,4450
2330,2013-04-02,22334113,2242499100,100.5,101.0,99.8,100.5,-0.5,6500
2330,2013-04-03,27097381,2731161500,101.5,101.5,100.0,100.5,0.0,6886
2330,2013-04-08,58367917,5768632279,99.0,99.5,98.5,98.5,-2.0,11496
2330,2013-04-09,41316418,4045349536,98.0,98.5,97.5,97.5,-1.0,10389
2330,2013-04-10,36746778,3604766222,98.8,98.8,97.7,98.3,0.8,7197
2330,2013-04-11,57867486,5799700086,99.0,101.5,98.8,101.5,3.2,12430
2330,2013-04-12,19568004,1968624772,101.5,101.5,100.0,100.5,-1.0,5602
2330,2013-04-15,23440616,2343267705,100.5,101.0,99.1,99.4,-1.1,6275
2330,2013-04-16,35918924,3576311040,98.2,101.0,98.2,100.5,1.1,8309
2330,2013-04-17,35897101,3598786346,101.5,101.5,99.7,100.0,-0.5,7663
2330,2013-04-18,33083804,3316064572,100.0,101.0,99.4,99.9,-0.1,7209
2330,2013-04-19,66950314,7110036743,105.5,106.5,105.5,106.5,6.6,15197
2330,2013-04-22,72502228,7859371624,108.5,109.5,107.5,108.5,2.0,16146
2330,2013-04-23,46146072,4903358892,106.5,107.5,105.5,106.0,-2.5,10405
2330,2013-04-24,35495750,3753132000,106.5,107.0,104.5,106.0,0.0,10908
2330,2013-04-25,26287666,2792181370,106.0,107.0,105.5,107.0,1.0,7044
2330,2013-04-26,36776724,3975714992,107.0,109.0,107.0,108.5,1.5,11735
2330,2013-04-29,21092377,2279129984,108.5,108.5,107.5,108.0,-0.5,6502
2330,2013-04-30,34612725,3772841445,108.5,109.5,108.5,109.5,1.5,10732
2330,2013-05-02,38796887,4272592070,110.0,111.0,109.0,110.5,1.0,10471
2330,2013-05-03,36621737,4072080617,111.5,112.5,110.0,110.0,-0.5,9832
2330,2013-05-06,19393798,2156914078,111.5,111.5,110.5,111.5,1.5,6706
2330,2013-05-07,22448180,2521248290,112.0,113.0,111.0,112.5,1.0,7353
2330,2013-05-08,42509709,4842348356,112.5,115.0,112.5,114.5,2.0,11870
2330,2013-05-09,27606177,3186565567,116.0,116.0,114.5,115.0,0.5,9101
2330,2013-05-10,27536736,3146083904,115.0,115.0,113.5,114.5,-0.5,7521
2330,2013-05-13,18263266,2094696397,115.0,115.5,114.0,114.5,0.0,3993
2330,2013-05-14,27855127,3224146605,115.5,116.5,115.0,115.5,1.0,7881
2330,2013-05-15,29107560,3338273993,115.0,116.0,113.5,115.0,-0.5,6849
2330,2013-05-16,45770439,5227824787,115.0,116.0,113.0,113.5,-1.5,10033
2330,2013-05-17,19316452,2177150076,112.0,113.5,111.5,113.5,0.0,6145
2330,2013-05-20,16882054,1911454937,112.5,114.0,112.5,114.0,0.5,4897
2330,2013-05-21,17238193,1941365116,113.0,113.5,112.0,112.5,-1.5,5038
2330,2013-05-22,34068421,3821447086,112.5,113.5,111.0,112.0,-0.5,8462
2330,2013-05-23,46874809,5132481372,110.5,111.5,108.0,108.0,-4.0,12254
2330,2013-05-24,26736102,2929037118,109.5,110.5,108.5,109.5,1.5,7786
